service,course_id,group_id,person_id,name,email,type,topic_id,timestamp,year,month,day,hour,min,sec,SUCCESS,WARNING,FAILURE,ERROR,INFO,TIMEOUT
Code,1,1,,,,,,,,,,,,,,,,,,
Code,1,1,a0025281,Parlo Samrohamo,parlo.samrohamo@student.tuwien.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0025296,Den Jamose,den.jamose@student.tuwien.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0101143,Joandr Gelin,joandr.gelin@unet.univie.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0127319,Brunda Dason,brunda.dason@yahoo.de,student,507,1274520851,2010,May,22,11,34,11,1,0,0,0,0,0
Code,1,1,a0140418,Den Rudyn,den.rudyn@hotmail.com,student,,,,,,,,,,,,,,
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277830751,2010,June,29,18,59,11,0,1,0,2,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277897161,2010,June,30,13,26,1,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277830683,2010,June,29,18,58,3,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277829989,2010,June,29,18,46,29,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277904691,2010,June,30,15,31,31,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277897097,2010,June,30,13,24,57,0,1,0,1,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277904932,2010,June,30,15,35,32,1,0,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277831868,2010,June,29,19,17,48,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1275915625,2010,June,7,15,0,25,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277830560,2010,June,29,18,56,0,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1275913701,2010,June,7,14,28,21,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277836062,2010,June,29,20,27,42,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1276005542,2010,June,8,15,59,2,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277830245,2010,June,29,18,50,45,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277193292,2010,June,22,9,54,52,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277056728,2010,June,20,19,58,48,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277831926,2010,June,29,19,18,46,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277193168,2010,June,22,9,52,48,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,student,202,1277836247,2010,June,29,20,30,47,1,1,0,0,0,0
Code,1,1,a0208319,Giasha Oscondred,giasha.oscondred@unet.univie.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0300450,Jer Lairvion,jer.lairvion@unet.univie.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0301725,Keryde Colack,keryde.colack@unet.univie.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0302810,Tyred Tuany,tyred.tuany@o-z.at,student,,,,,,,,,,,,,,
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1276857703,2010,June,18,12,41,43,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277040528,2010,June,20,15,28,48,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1276858219,2010,June,18,12,50,19,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277044936,2010,June,20,16,42,16,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1276093703,2010,June,9,16,28,23,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277044445,2010,June,20,16,34,5,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277039509,2010,June,20,15,11,49,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277038549,2010,June,20,14,55,49,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277038789,2010,June,20,14,59,49,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1276857881,2010,June,18,12,44,41,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277037851,2010,June,20,14,44,11,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277038429,2010,June,20,14,53,49,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277046344,2010,June,20,17,5,44,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277039260,2010,June,20,15,7,40,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277907860,2010,June,30,16,24,20,1,0,0,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,student,406,1277038133,2010,June,20,14,48,53,0,0,1,0,0,0
Code,1,1,a0325144,Maldon Raymonson,maldon.raymonson@unet.univie.ac.at,student,,,,,,,,,,,,,,
Code,1,1,a0327157,Callan Lenyontwa,callan.lenyontwa@gmx.at,student,,,,,,,,,,,,,,
Code,1,1,a0347735,Richri Ronzo,richri.ronzo@unet.univie.ac.at,student,,,,,,,,,,,,,,
