service,course_id,group_id,person_id,name,email,type,topic_id,topic_description,date,SUCCESS,WARNING,FAILURE,ERROR,INFO,TIMEOUT
Code,1,1,,,,,,,,,,,
Code,1,1,a0025281,Parlo Samrohamo,parlo.samrohamo@student.tuwien.ac.at,,,,,,,,
Code,1,1,a0025296,Den Jamose,den.jamose@student.tuwien.ac.at,,,,,,,,
Code,1,1,a0101143,Joandr Gelin,joandr.gelin@unet.univie.ac.at,,,,,,,,
Code,1,1,a0127319,Brunda Dason,brunda.dason@yahoo.de,507,1274520851,1,0,0,0,0,0
Code,1,1,a0140418,Den Rudyn,den.rudyn@hotmail.com,,,,,,,,
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277193292,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277836247,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277830245,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277830683,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277829989,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277904932,1,0,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1276005542,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277056728,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277830560,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277897161,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277193168,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1275913701,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277831868,0,0,1,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1275915625,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277904691,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277836062,1,1,0,0,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277830751,0,1,0,2,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277897097,0,1,0,1,0,0
Code,1,1,a0207445,Bencio Jarculy,bencio.jarculy@unet.univie.ac.at,202,1277831926,1,1,0,0,0,0
Code,1,1,a0208319,Giasha Oscondred,giasha.oscondred@unet.univie.ac.at,,,,,,,,
Code,1,1,a0300450,Jer Lairvion,jer.lairvion@unet.univie.ac.at,,,,,,,,
